"Host_Gene","Bact_Gene","Bact_Mat_ID","Correlation","P_value","Interaction"
"LOC106572356","AMA41292.1","AWJ11_01955",-0.885714285714286,0.0188454810495627,"Negative"
"LOC106572356","AMA43084.1","AWJ11_12405",-0.942857142857143,0.00480466472303207,"Negative"
"LOC106572356","AMA42566.1","AWJ11_09310",0.828571428571429,0.0415626822157434,"Positive"
"LOC106578043","AMA42146.1","AWJ11_07035",-0.942857142857143,0.00480466472303207,"Negative"
"LOC106578043","AMA42391.1","AWJ11_08425",-0.828571428571429,0.0415626822157434,"Negative"
"LOC106578043","AMA41134.1","AWJ11_00985",-0.942857142857143,0.00480466472303207,"Negative"
"LOC106578043","AWJ11_16505","AWJ11_16505",-0.942857142857143,0.00480466472303207,"Negative"
"LOC106578043","AMA42566.1","AWJ11_09310",1,0,"Positive"
"LOC106604056","AMA42146.1","AWJ11_07035",-0.885714285714286,0.0188454810495627,"Negative"
"LOC106604056","AMA41134.1","AWJ11_00985",-0.885714285714286,0.0188454810495627,"Negative"
"LOC106604056","AWJ11_16505","AWJ11_16505",-0.885714285714286,0.0188454810495627,"Negative"
"LOC106604056","AMA43084.1","AWJ11_12405",-0.828571428571429,0.0415626822157434,"Negative"
"LOC106604056","AMA42566.1","AWJ11_09310",0.942857142857143,0.00480466472303207,"Positive"
"grnb","AMA41292.1","AWJ11_01955",-0.885714285714286,0.0188454810495627,"Negative"
"grnb","AMA43084.1","AWJ11_12405",-0.942857142857143,0.00480466472303207,"Negative"
"grnb","AMA42566.1","AWJ11_09310",0.828571428571429,0.0415626822157434,"Positive"
"LOC106569878","AMA41292.1","AWJ11_01955",-0.942857142857143,0.00480466472303207,"Negative"
"LOC106569878","AMA43084.1","AWJ11_12405",-1,0,"Negative"
"LOC106611061","AMA41292.1","AWJ11_01955",-0.942857142857143,0.00480466472303207,"Negative"
"LOC106611061","AMA43084.1","AWJ11_12405",-1,0,"Negative"
"LOC106589425","AMA41292.1","AWJ11_01955",-0.942857142857143,0.00480466472303207,"Negative"
"LOC106589425","AMA43084.1","AWJ11_12405",-1,0,"Negative"
"arc1a","AWJ11_16000","AWJ11_16000",0.828571428571429,0.0415626822157434,"Positive"
"LOC106572390","AMA42146.1","AWJ11_07035",-0.828571428571429,0.0415626822157434,"Negative"
"LOC106572390","AMA42391.1","AWJ11_08425",-0.942857142857143,0.00480466472303207,"Negative"
"LOC106572390","AMA41134.1","AWJ11_00985",-0.828571428571429,0.0415626822157434,"Negative"
"LOC106572390","AWJ11_16000","AWJ11_16000",-1,0,"Negative"
"LOC106572390","AWJ11_16505","AWJ11_16505",-0.828571428571429,0.0415626822157434,"Negative"
"aacs","AMA41292.1","AWJ11_01955",-0.828571428571429,0.0415626822157434,"Negative"
"LOC106610362","AMA41292.1","AWJ11_01955",0.942857142857143,0.00480466472303207,"Positive"
"LOC106610362","AMA43084.1","AWJ11_12405",1,0,"Positive"
"LOC106608700","AMA41292.1","AWJ11_01955",0.885714285714286,0.0188454810495627,"Positive"
"LOC106608700","AMA43084.1","AWJ11_12405",0.942857142857143,0.00480466472303207,"Positive"
"LOC106608700","AMA42566.1","AWJ11_09310",-0.828571428571429,0.0415626822157434,"Negative"
"LOC106568950","AWJ11_16000","AWJ11_16000",-0.828571428571429,0.0415626822157434,"Negative"
"LOC106609471","AMA41292.1","AWJ11_01955",-0.828571428571429,0.0415626822157434,"Negative"
"pdlim3b","AMA41292.1","AWJ11_01955",0.885714285714286,0.0188454810495627,"Positive"
"pdlim3b","AMA43084.1","AWJ11_12405",0.942857142857143,0.00480466472303207,"Positive"
"pdlim3b","AMA42566.1","AWJ11_09310",-0.828571428571429,0.0415626822157434,"Negative"
