"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC100136916",40125.7309439977,7.64712506839077,0.138125424516135,55.3636312444236,0,0
"LOC106587655",51599.8263119873,5.26004119685123,0.115241552758071,45.6436161346571,0,0
"LOC106566399",25837.7618126081,4.86422862685306,0.126744032545168,38.3783640868423,3.06320700421573e-322,2.94363817726569e-318
"LOC106569443",6207.15030126986,5.02725413168774,0.133073205488764,37.7781095241762,2.60009705411215e-312,1.87395494932498e-308
"LOC106583171",5899.79375973109,6.62666927569595,0.177208932801515,37.3946683777969,4.77022548144495e-306,2.75041660809153e-302
"LOC106583235",6149.13063696988,4.65112413321643,0.133722693139996,34.7818610588938,4.57409112108085e-265,2.19777454882733e-261
"cxcl14",1717.83500916375,-5.82310562063711,0.174676796724207,-33.336457559564,1.14469187831478e-243,4.71433173713384e-240
"LOC106589303",1991.07173808546,-4.23963157309226,0.128149791860019,-33.0834058452728,5.14907151389307e-240,1.85553228342529e-236
"LOC106581219",6809.71909071864,4.05660056278406,0.123200058418409,32.926937006857,9.04904421248106e-238,2.89860995112907e-234
"LOC106608947",213024.306098768,3.93478683966142,0.121841936214589,32.2941916544354,8.43967401271875e-229,2.43307362112669e-225
"LOC106584647",1866.85717394366,5.39352661267116,0.172794307294615,31.2135665642918,6.97388960651445e-214,1.82772966787459e-210
"LOC106571395",20248.7072666152,3.99577260401548,0.12854928776547,31.0835841526054,4.01458631593108e-212,9.64470907516476e-209
"LOC106582303",2980.06297587971,4.54338559454658,0.147083985790545,30.889736704692,1.6406737230149e-209,3.63838328929204e-206
"LOC106612383",9019.57549102081,3.81792136438028,0.124002514377553,30.7890641052308,3.67099251176181e-208,7.05540287477207e-205
"mafba",5047.07729508149,4.44200366937471,0.144270528621839,30.7894045430308,3.63267470995059e-208,7.05540287477207e-205
"hsc70",3642.04844510622,-3.57265063113329,0.116755573495318,-30.599401160721,1.24661440964902e-205,2.24616542598573e-202
"inhbaa",4300.10083174443,5.55740476176349,0.182302653344812,30.4844973992347,4.18281853463582e-204,7.09332209029506e-201
"LOC106605128",5860.03907730406,4.26937871035894,0.140469115622015,30.3937181597079,6.64998896119765e-203,1.06506962090204e-199
"LOC106573447",6248.66891563485,3.60467779433015,0.12506484455918,28.822470511483,1.12180267005998e-182,1.70212890395574e-179
"LOC106572390",2576.86666966013,4.57687681050732,0.159756360782281,28.6491053507709,1.64471940191139e-180,2.37078078188518e-177
"LOC106603773",4813.86682641797,3.58800645641309,0.126594363051402,28.3425451965521,1.03421827444157e-176,1.41978469685124e-173
"LOC106562421",1303.45653403488,4.6523208632356,0.165274984855111,28.1489716505742,2.46685343385999e-174,3.23258716567044e-171
"sqstm1",10811.7983294436,3.66246199498822,0.132408785342136,27.6602642757023,2.1003304658815e-168,2.6326272609086e-165
"LOC106585353",2752.24391067501,3.632508744974,0.133346016073797,27.2412243869638,2.11140009722003e-163,2.53623139178151e-160
"LOC106567550",18650.158057507,3.06637004464575,0.112845533883042,27.1731626333025,1.34855060042834e-162,1.55509461038995e-159
"nagab",1248.66127199832,4.54399260790424,0.167662955402234,27.1019474576416,9.3395053292395e-162,1.03557153514094e-158
"cd44b",17473.0932914907,2.91043508472944,0.108302509512328,26.8732007950208,4.51889933941487e-159,4.82501292799968e-156
"plpp3",2351.77556413706,4.08620608628762,0.152075000545067,26.8696766177336,4.96840547158951e-159,5.11550576215907e-156
"LOC106567520",2293.5441730193,3.8716822580622,0.144548458271917,26.7846665702859,4.87564818309941e-158,4.84689867139906e-155
"LOC106564685",5093.63848320395,3.6627281393697,0.137466840659118,26.6444483761165,2.07546253609544e-156,1.99445031510318e-153
"LOC100195785",1845.45195160029,-4.87749506119728,0.183223239073957,-26.6205045050454,3.93049412898571e-156,3.65523274982352e-153
"bhlhe41",1677.15470440179,4.3278588475933,0.162803864747743,26.5832684887372,1.05984657791651e-155,9.548224060861e-153
"mxd4",1245.15252824123,6.27047853770887,0.236168460330928,26.5508719027192,2.50934692494086e-155,2.19218068179152e-152
"LOC123723998",1260.44140728669,4.5719612939782,0.173113350003698,26.410217894117,1.04575979890178e-153,8.86712036545275e-151
"catk",16084.3540785491,3.23427276576907,0.122859140970175,26.3250478574826,9.91151125255168e-153,8.16397022570893e-150
"LOC106573930",3007.38793777204,4.39052397535332,0.167457400167545,26.2187515807632,1.62444487649622e-151,1.30086448179193e-148
"LOC106603933",1381.63233335939,4.02306989622673,0.154016322747794,26.1210618748158,2.10188303662334e-150,1.63770773142741e-147
"irf-1",1545.7881541706,3.84278287321936,0.147357671222122,26.0779289014881,6.48979072963125e-150,4.92353097222472e-147
"LOC106564677",884.95423379731,-4.50807706305385,0.173929496226275,-25.9189910904418,4.06857916260157e-148,3.0075145815036e-145
"LOC106588075",12490.5519857096,2.97653284640561,0.115749852668799,25.7152193093715,7.89942989260979e-146,5.69331660935119e-143
"LOC106607527",2705.83697233693,3.29195027249125,0.12840772267018,25.6367000678515,5.94952424156731e-145,4.18338620390595e-142
"itga5",11238.2784493495,2.93835771075109,0.115026783203752,25.5449872535012,6.24204225290923e-144,4.28456752640762e-141
"LOC106608163",76460.9240392986,3.20035053454674,0.125891449724687,25.421508303746,1.45879768621035e-142,9.78039034785071e-140
"LOC106606880",4411.82280810065,3.31985090969038,0.130598009614799,25.4203790661307,1.50134769010202e-142,9.83689830862526e-140
"aco1",5084.28789612654,2.92969813220617,0.115297766989142,25.4098427811015,1.96316371352827e-142,1.25768992660681e-139
"efhd2",4474.18228039962,3.51589503316411,0.13849453847772,25.3865247814788,3.55269838711184e-142,2.2265378652619e-139
"catl1",26847.3269120144,3.0141424460207,0.118892412094049,25.3518487255215,8.57433471456621e-142,5.25935096779211e-139
