"raw_gene_id","gene_type","official_symbol","description","human_ortho","mouse_ortho","zebrafish_ortho","display_symbol"
"1433b","Annotated_Symbol","1433b","1433b","1433B","1433b","1433b","1433b"
"143b2","Annotated_Symbol","143b2","143b2","143B2","143b2","143b2","143b2"
"143g1","Annotated_Symbol","143g1","143g1","143G1","143g1","143g1","143g1"
"143g2","Annotated_Symbol","143g2","143g2","143G2","143g2","143g2","143g2"
"2a5e","Annotated_Symbol","2a5e","2a5e","2A5E","2a5e","2a5e","2a5e"
"4f2","Annotated_Symbol","4f2","4f2","4F2","4f2","4f2","4f2"
"5nt1a","Annotated_Symbol","5nt1a","5nt1a","5NT1A","5nt1a","5nt1a","5nt1a"
"5ntc","Annotated_Symbol","5ntc","5ntc","5NTC","5ntc","5ntc","5ntc"
"7b2","Annotated_Symbol","7b2","7b2","7B2","7b2","7b2","7b2"
"a1cf","Annotated_Symbol","a1cf","a1cf","A1CF","A1cf","a1cf","a1cf"
"a9a1b","Annotated_Symbol","a9a1b","a9a1b","A9A1B","A9a1b","a9a1b","a9a1b"
"aaad","Annotated_Symbol","aaad","aaad","AAAD","Aaad","aaad","aaad"
"aaas","Annotated_Symbol","aaas","aaas","AAAS","Aaas","aaas","aaas"
"aacs","Annotated_Symbol","aacs","aacs","AACS","Aacs","aacs","aacs"
"aadac","Annotated_Symbol","aadac","aadac","AADAC","Aadac","aadac","aadac"
"aadacl4","Annotated_Symbol","aadacl4","aadacl4","AADACL4","Aadacl4","aadacl4","aadacl4"
"aadat","Annotated_Symbol","aadat","aadat","AADAT","Aadat","aadat","aadat"
"aagab","Annotated_Symbol","aagab","aagab","AAGAB","Aagab","aagab","aagab"
"aakb1","Annotated_Symbol","aakb1","aakb1","AAKB1","Aakb1","aakb1","aakb1"
"aamdc","Annotated_Symbol","aamdc","aamdc","AAMDC","Aamdc","aamdc","aamdc"
"aanat1","Annotated_Symbol","aanat1","aanat1","AANAT1","Aanat1","aanat1","aanat1"
"aar2","Annotated_Symbol","aar2","aar2","AAR2","Aar2","aar2","aar2"
"aars1","Annotated_Symbol","aars1","aars1","AARS1","Aars1","aars1","aars1"
"aars2","Annotated_Symbol","aars2","aars2","AARS2","Aars2","aars2","aars2"
"aarsd1","Annotated_Symbol","aarsd1","aarsd1","AARSD1","Aarsd1","aarsd1","aarsd1"
"aasdh","Annotated_Symbol","aasdh","aasdh","AASDH","Aasdh","aasdh","aasdh"
"aasdhppt","Annotated_Symbol","aasdhppt","aasdhppt","AASDHPPT","Aasdhppt","aasdhppt","aasdhppt"
"aass","Annotated_Symbol","aass","aass","AASS","Aass","aass","aass"
"aatkb","Annotated_Symbol","aatkb","aatkb","AATKB","Aatkb","aatkb","aatkb"
"ab14b","Annotated_Symbol","ab14b","ab14b","AB14B","Ab14b","ab14b","ab14b"
"abca12","Annotated_Symbol","abca12","abca12","ABCA12","Abca12","abca12","abca12"
"abca2","Annotated_Symbol","abca2","abca2","ABCA2","Abca2","abca2","abca2"
"abca5","Annotated_Symbol","abca5","abca5","ABCA5","Abca5","abca5","abca5"
"abca7","Annotated_Symbol","abca7","abca7","ABCA7","Abca7","abca7","abca7"
"abcb11a","Annotated_Symbol","abcb11a","abcb11a","ABCB11A","Abcb11a","abcb11a","abcb11a"
"abcb3","Annotated_Symbol","abcb3","abcb3","ABCB3","Abcb3","abcb3","abcb3"
"abcb5","Annotated_Symbol","abcb5","abcb5","ABCB5","Abcb5","abcb5","abcb5"
"abcb7","Annotated_Symbol","abcb7","abcb7","ABCB7","Abcb7","abcb7","abcb7"
"abcb8","Annotated_Symbol","abcb8","abcb8","ABCB8","Abcb8","abcb8","abcb8"
"abcb9","Annotated_Symbol","abcb9","abcb9","ABCB9","Abcb9","abcb9","abcb9"
"abcc12","Annotated_Symbol","abcc12","abcc12","ABCC12","Abcc12","abcc12","abcc12"
"abcc13","Annotated_Symbol","abcc13","abcc13","ABCC13","Abcc13","abcc13","abcc13"
"abcc2","Annotated_Symbol","abcc2","abcc2","ABCC2","Abcc2","abcc2","abcc2"
"abcc3","Annotated_Symbol","abcc3","abcc3","ABCC3","Abcc3","abcc3","abcc3"
"abcc9","Annotated_Symbol","abcc9","abcc9","ABCC9","Abcc9","abcc9","abcc9"
"abcd1","Annotated_Symbol","abcd1","abcd1","ABCD1","Abcd1","abcd1","abcd1"
"abcd4","Annotated_Symbol","abcd4","abcd4","ABCD4","Abcd4","abcd4","abcd4"
"abce1","Annotated_Symbol","abce1","abce1","ABCE1","Abce1","abce1","abce1"
"abcf1","Annotated_Symbol","abcf1","abcf1","ABCF1","Abcf1","abcf1","abcf1"
"abcf2a","Annotated_Symbol","abcf2a","abcf2a","ABCF2A","Abcf2a","abcf2a","abcf2a"
"abcg1","Annotated_Symbol","abcg1","abcg1","ABCG1","Abcg1","abcg1","abcg1"
"abcg2","Annotated_Symbol","abcg2","abcg2","ABCG2","Abcg2","abcg2","abcg2"
"abcg4a","Annotated_Symbol","abcg4a","abcg4a","ABCG4A","Abcg4a","abcg4a","abcg4a"
"abcg5","Annotated_Symbol","abcg5","abcg5","ABCG5","Abcg5","abcg5","abcg5"
"abcg8","Annotated_Symbol","abcg8","abcg8","ABCG8","Abcg8","abcg8","abcg8"
"abch1","Annotated_Symbol","abch1","abch1","ABCH1","Abch1","abch1","abch1"
"abhd10a","Annotated_Symbol","abhd10a","abhd10a","ABHD10A","Abhd10a","abhd10a","abhd10a"
"abhd10b","Annotated_Symbol","abhd10b","abhd10b","ABHD10B","Abhd10b","abhd10b","abhd10b"
"abhd11","Annotated_Symbol","abhd11","abhd11","ABHD11","Abhd11","abhd11","abhd11"
"abhd12","Annotated_Symbol","abhd12","abhd12","ABHD12","Abhd12","abhd12","abhd12"
"abhd17b","Annotated_Symbol","abhd17b","abhd17b","ABHD17B","Abhd17b","abhd17b","abhd17b"
"abhd17c","Annotated_Symbol","abhd17c","abhd17c","ABHD17C","Abhd17c","abhd17c","abhd17c"
"abhd18","Annotated_Symbol","abhd18","abhd18","ABHD18","Abhd18","abhd18","abhd18"
"abhd2b","Annotated_Symbol","abhd2b","abhd2b","ABHD2B","Abhd2b","abhd2b","abhd2b"
"abhd4","Annotated_Symbol","abhd4","abhd4","ABHD4","Abhd4","abhd4","abhd4"
