"gene","STRING_id","gene_symbol","description"
"grnb",NA,NA,NA
"LOC106568950","8030.ENSSSAP00000097943","LOC106568950","Gamma-interferon-inducible lysosomal thiol reductase-like."
"LOC106569878","8030.ENSSSAP00000091963","LOC106569878","Guanylate cyclase."
"LOC106578043","8030.ENSSSAP00000089618","LOC106578043","Chloride channel protein."
"LOC106589425","8030.ENSSSAP00000003800","LOC106589425","Latent-transforming growth factor beta-binding protein 2-like."
"LOC106609471",NA,NA,NA
"LOC106610362",NA,NA,NA
"pdlim3b",NA,NA,NA
"aacs","8030.ENSSSAP00000105519","aacs","acetoacetyl-CoA synthetase."
"arc1a","8030.ENSSSAP00000001515","arc1a","Actin-related protein 2/3 complex subunit; Functions as component of the Arp2/3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks."
"LOC106572356",NA,NA,NA
"LOC106572390","8030.ENSSSAP00000071605","LOC106572390","Tumor necrosis factor receptor superfamily member 9-like isoform X1."
"LOC106604056","8030.ENSSSAP00000002608","LOC106604056","Large neutral amino acids transporter small subunit 4-like isoform X3."
"LOC106608700","8030.ENSSSAP00000104239","LOC106608700","Dickkopf-related protein 1-like."
"LOC106611061","8030.ENSSSAP00000058661","LOC106611061","Latent-transforming growth factor beta-binding protein 2-like isoform X3."
